Time, Fuel
8672, 223
8679, 222
8686, 221
8693, 220
8700, 219
8707, 218
8714, 217
8721, 216
8728, 215
8735, 214
8742, 213
8749, 212
8756, 211
8763, 210
8770, 209
8777, 208
8784, 207
8791, 206
8797, 205
8804, 204
8811, 203
8818, 202
8825, 201
8832, 200
